Вопрос,Ответ,Теги,Совместимое оборудование,Тип оборудования
Заказчица хочет поставить монтажную панель на 2 этаже и провести трубы и коммуникации в душевую кабину на 3 этаже. Получится ли функционально?,"Расположение контрольной панели ниже этажом зачастую является более предпочтительным, т.к. в этом случае уменьшается длина труб, что особенно хорошо для работы боковых форсунок. Короткая длина труб обеспечивает более быстрое переключение воды в контрастных программах, а значит эффект гидромассажа становится ощутимее.","Монтаж, боковые форсунки, техническое помещение, длина труб","ULTIMATE, STANDART, BASIC, BASIC AROMA, BASIC SIDE, BASIC SIDE AROMA, SIDE, FOG AROMA, WATERFALL",Душ впечатлений
"Также запрашивал рекомендуемую высоту по комнате впечатлений, и рекомендуемую  длину комнаты впечатлений","Размер помещения обычно составляет от 2.5х2.5 метра до 4х4 метра. Таким образом для комнаты впечатлений требуется помещение площадью от 6 до 16 квадратных метров. Такое помещение позволяет вместить сразу от 3 до 8 человек. Высота потолка в отделке рекомендуется не менее 2500 мм, лучше 2700. Такая высота нужна для того, чтобы форсунки успели раскрыться и обеспечили максимальное покрытие площади комнаты впечатлений. За чистовым потолком требуется не менее 300мм для подвода коммуникаций и подключения оборудования.","Высота лейки, размер помещения",ROOM,Комната впечатлений
Мы не планировали боковые форсунки. Но может рассмотрим их.,"Боковые форсунки являются одним из самых эффектных дополнений. Именно они позволяют осуществлять гидромассаж, делать контрастные переключения воды, кроме того - боковые форсунки работают очень быстро и максимально точно синхронизируют со звуком. Если есть возможность установить боковые форсунки - мы всегда рекомендуем это делать.",Боковые форсунки,"ULTIMATE, STANDART",Душ впечатлений
Подскажите пожалуйста какая глубина встройки боковых форсунок?,"Есть разные боковые форсунки, от полностью встраиваемых до устанавливаемых снаружи. Мы стандартно предлагаем внешние боковые форсунки, они очень миниатюрные и подходят к любому интерьеру. Внешний размер всего 40х25 мм. Глубина водорозетки для установки такой форсунки не превышает 50 мм, что позволяет установить практически в любую стену.",Боковые форсунки,"ULTIMATE, STANDART",Душ впечатлений
В душевой напротив двери будет лавка поэтому верхняя панель сдвинется к центру кабины,"Наше оборудование не накладывает никаких ограничений на дизайн душевой. Делайте, как вам удобно и как задумано дизайнером. Обычно мы рекомендуем установку верхней лейки дальше от входа, но в первую очередь это касается открытых душевых. Эти рекомендации направлены на то, чтобы брызги не вылетали за пределы душевой. Если душевая имеет дверь - то брызги не так страшны.","Монтаж, верхняя лейка","ULTIMATE, STANDART, BASIC, BASIC AROMA, BASIC SIDE, BASIC SIDE AROMA, SIDE, FOG AROMA, WATERFALL",Душ впечатлений
Управление душем лучше перенести куда то ближе к двери. Какая у него глубина встройки?,"Мы рекомендуем устанавливать кнопку управления душем на высоте 950-1000 мм. А расположить ее в душевой - вы можете там, где это удобно вам. Кнопка полностью защищена от воды и случайных срабатываний, поэтому можете разместить ее максимально близко к самому душу. Удобное расположение - это когда вы можете управлять ей находясь под душем. Это позволит удобно выбирать программы, запускать и останавливать их. Глубина встраивания кнопки управления - 50 мм.","Кнопка управления, монтаж.","ULTIMATE, STANDART, BASIC, BASIC AROMA, BASIC SIDE, BASIC SIDE AROMA, SIDE, FOG AROMA, WATERFALL",Душ впечатлений
Что такое выключатель освещения? Я предполагала что свет управляется автоматически от программ,"Совершенно верно, свет управляется автоматически от программ, однако вы можете установить внешний выключатель перед входом в душевую и запускать сценарное освещение. Например вы заходите в комнату и включаете свет, у вас играет спокойная музыка и плавные переливы света. Или можете просто включить белое освещение без музыки. Но когда вы запустите душевую программу - вся комната станет частью представления, эффекты заполнят все пространство. По окончании программы снова включится обычное освещение.","Выключатель, выключатель сценарного освещения, сценарное освещение, RAINZ SCENE","ULTIMATE, STANDART, BASIC AROMA, BASIC, BASIC SIDE, BASIC SIDE AROMA, WATERFALL, FOG AROMA, SIDE, VICHY6, ROOM","Душ впечатлений, Горизонтальный душ, Комната впечатлений"
"Можно пояснить смысл тех.коридора за экранами?
",Технический коридор за экранами необходим для обслуживания экранов и их замены в случае выхода из строя. Там же осуществляется коммутация экранов.,"Техническое помещение, экраны",INFINITY,Бассейн
"Если с экраном возникает проблема, мы закроем доступ всем, кроме тех.службы. Они не смогут работать со стороны бассейна?","Нет, со стороны бассейна экраны закрыты защитным стеклом. Доступа к экранам со стороны бассейна нет.","Стекло, экраны, техническое помещение",INFINITY,Бассейн
"Нужно еще понять, как выглядит системная эксплуатация этого аттракциона.","Подробная информация об эксплуатации аттракциона представлена в проектной документации и учитывает конкретное оборудование. В целом эксплуатация сводится к обычной эксплуатации любого бассейна: дозирование химреагентов, обслуживание фильтров, механическая очистка. Кроме бассейнового оборудования, добавляется промывка фильтра системы дождя, системы генерации тумана, заправка ароматизаторов.","Эксплуатация, техническое обслуживание",INFINITY,Бассейн
"Кнопку нажали в бассейне или выведенную к администратору, и программа запустилась?","Т.к. это технологически сложное оборудование - оно работает по заранее подготовленным программам. Запуск может осуществляться из помещение бассейна пользователем. Процесс устроен так, что пока не отработает заданная программа, ее нельзя прервать. Только в случае экстренного выключения специальной тревожной кнопкой. Также полный контроль над оборудованием может осуществляться со стойки администратора.","Управление, запуск",INFINITY,Бассейн
Или нужен периодический подход к каким-то узлам? Может быть техническое обслуживание периодическое?,"Подробная информация об эксплуатации аттракциона представлена в проектной документации и учитывает конкретное оборудование. В целом эксплуатация сводится к обычной эксплуатации любого бассейна: дозирование химреагентов, обслуживание фильтров, механическая очистка. Кроме бассейнового оборудования, добавляется промывка фильтра системы дождя, системы генерации тумана, заправка ароматизаторов.","Эксплуатация, техническое обслуживание",INFINITY,Бассейн
Нужно понимать и эксплуатационные затраты. ,"Эксплуатационные затраты самого бассейна существенно меньше, чем на обычный бассейн такого же размера, за счет малого объема воды. Максимальное энергопотребление на весь бассейн, с учетом всего комплекса оборудования, нужно рассчитывать из 55 кВт. ","Эксплуатация, затраты",INFINITY,Бассейн
"А так же затраты на дополнение контента спустя 24 месяца и разработку нового под заказ, если Вы за эту работу готовы будете взяться.","Стоимость разработки новых индивидуальных программ зависит от уровня проработки и сложности видео. Здесь нет точной цены, также, как и в кинопродакшене. Но позднее мы предложим вариант подписки на новые программы, который будет существенно выгоднее, чем производство собственных программ.","Контент, программы",INFINITY,Бассейн